'{19A6BAAC-E06A-4992-92BC-034B42130C67}', '40000', '1995-04-13 00:00', 'NN11 9EE', 'D', 'N', 'F', '1', '', 'CONISTON CLOSE', 'DAVENTRY', 'DAVENTRY', 'DAVENTRY', 'NORTHAMPTONSHIRE', 'A', 'A'
'{D6B085CF-C19D-4FEB-B18F-119CD79B9B94}', '152500', '1995-12-08 00:00', 'SE9 4RX', 'D', 'N', 'F', 'THE CROFT', '', 'MOTTINGHAM LANE', 'LONDON', 'LONDON', 'BROMLEY', 'GREATER LONDON', 'A', 'A'
'{B7321BF5-1CE1-4889-9CFF-02CCA10E9623}', '54995', '1995-07-28 00:00', 'WF2 9TB', 'S', 'Y', 'F', '18', '', 'WILLOW ROAD', 'ALVERTHORPE', 'WAKEFIELD', 'WAKEFIELD', 'WEST YORKSHIRE', 'A', 'A'
